Species,Turbines density,WPD-NoTurbine density,Patagonia,Center SAm,Caribbean
Hypocnemis ochrogyna,0,0,0,0,0
Hypopyrrhus pyrohypogaster,0,0,0,0,0
Icterus bonana,0,1,0,0,1
Icterus laudabilis,0,1,0,0,1
Icterus northropi,0,1,0,0,1
Icterus oberi,0,1,0,0,1
Iodopleura pipra,21,1,0,0,0
Junco insularis,0,1,0,0,0
Larus fuliginosus,1,1,0,0,0
Laterallus jamaicensis,12,1,0,1,1
Laterallus levraudi,12,1,0,0,1
Laterallus spilonota,2,1,0,0,0
Laterallus spilopterus,48,1,1,1,0
Laterallus tuerosi,0,0,0,0,0
Laterallus xenopterus,0,1,0,1,0
Lathrotriccus griseipectus,3,1,0,0,0
Leistes defilippii,70,1,0,1,0
Lepidothrix iris,0,1,0,0,0
Leptasthenura xenothorax,0,0,0,0,0
Leptodon forbesi,323,1,0,0,0
Leptotila battyi,128,0,0,0,0
Leptotila ochraceiventris,5,1,0,0,0
Leptotila wellsi,0,1,0,0,1
Leucopeza semperi,0,1,0,0,1
Lipaugus conditus,17,0,0,0,0
Lipaugus uropygialis,0,0,0,0,0
Lipaugus weberi,0,0,0,0,0
Loddigesia mirabilis,0,0,0,0,0
Lophornis brachylophus,0,0,0,0,0
Loxia megaplaga,22,1,0,0,1
Macroagelaius subalaris,0,0,0,0,0
Malacoptila minor,116,0,0,0,0
Megascops gilesi,18,1,0,0,1
Melanospiza richardsoni,0,1,0,0,1
Mergus octosetaceus,23,1,0,1,0
Merulaxis stresemanni,0,0,0,0,0
Metallura baroni,0,0,0,0,0
Metallura iracunda,18,0,0,0,0
Micrastur plumbeus,0,0,0,0,0
Microspingus alticola,3,0,0,0,0
Mimus graysoni,0,1,0,0,0
Mimus macdonaldi,0,1,0,0,0
Mimus trifasciatus,6,0,0,0,0
Myiarchus semirufus,7,1,0,0,0
Myioborus pariae,0,1,0,0,1
Myiotheretes pernix,18,1,0,0,1
Myrmoborus lugubris,0,0,0,0,0
Myrmoborus melanurus,0,0,0,0,0
Myrmoderus ruficauda,34,1,0,0,0
Myrmotherula klagesi,0,0,0,0,0
